budgets,revenues
"
Opening Weekend USA: $16,485,276,
14 June 1998, Wide Release
","
Cumulative Worldwide Gross: $164,829,966, 31 December 1999
"
"
Gross USA: $23,020, 25 September 2016
","
  Show more on
  IMDbPro »
  "
"
Opening Weekend USA: $24,701,458,
8 August 2004, Wide Release
","
Cumulative Worldwide Gross: $217,764,291
        "
"
Opening Weekend USA: $4,717,902,
24 October 1999, Wide Release
","
Production Co:
 Destination Films 
See more »
      
"
"
Budget:$30,000,000
            (estimated)
","
Gross USA: $42,073,277
        "
"
Gross USA: $12,902,790, 28 February 1999
","
  Show more on
  IMDbPro »
  "
"
Opening Weekend USA: $46,518,
20 September 2009, Limited Release
","
Production Co:
 Ce Qui Me Meut Motion Pictures, StudioCanal, StudioCanal Image 
See more »
      
"
"
Budget:$7,000,000
            (estimated)
","
Gross USA: $41,003,371
        "
"
Production Co:
 Goldcrest Films International, Peter Newman Productions, InterAL 
See more »
      
","
Runtime:
95 min
"
"
Budget:$9,000,000
            (estimated)
","
Gross USA: $138,291,365
        "
"
Opening Weekend USA: $3,012,695,
16 October 1994, Wide Release
","
Production Co:
 Savoy Pictures 
See more »
      
"
"
Opening Weekend USA: $10,106,992,
2 February 2003, Wide Release
","
Production Co:
 DreamWorks, 3 Arts Entertainment 
See more »
      
"
"
Gross USA: $11,373,501
        ","
  Show more on
  IMDbPro »
  "
"
Gross USA: $52,700,832
        ","
Production Co:
 PolyGram Filmed Entertainment, Channel Four Films, Working Title Films 
See more »
      
"
"
Budget:$16,000,000
            (estimated)
","
Gross USA: $4,600,585
        "
"
Budget:$65,000,000
            (estimated)
","
Gross USA: $115,637,895, 14 March 2015
"
"
Opening Weekend USA: $32,017,
1 February 1998, Limited Release
","
Production Co:
 Columbia Pictures Television Trading Company, Filmes do Equador, Luiz Carlos Barreto Produções Cinematográficas 
See more »
      
"
"
Budget:$160,000,000
            (estimated)
","
Gross USA: $281,723,902
        "
0,0
"
Budget:$60,000,000
            (estimated)
","
Gross USA: $30,063,805, 7 April 2002
"
"
Budget:$25,000,000
            (estimated)
","
Gross USA: $34,604,054, 11 May 2003
"
"
Gross USA: $9,563,393
        ","
  Show more on
  IMDbPro »
  "
"
Production Co:
 Goodman / Rosen Productions, Josa 
See more »
      
","
Runtime:
94 min
"
"
Budget:$11,000,000
            (estimated)
","
Gross USA: $16,667,084
        "
"
Gross USA: $2,850,000
        ","
  Show more on
  IMDbPro »
  "
"
Opening Weekend USA: $11,630,
5 October 2007, Limited Release
","
Production Co:
 United Artists, GreeneStreet Films, Icon Entertainment International 
See more »
      
"
"
Production Co:
 Hollywood Pictures, Touchwood Pacific Partners 1 
See more »
      
","
Runtime:
107 min
"
"
Production Co:
 The Cannon Group, Golan-Globus Productions 
See more »
      
","
Runtime:
101 min
|
88 min
            (video)
          |
83 min
            (cut)
    "
"
Budget:$100,000,000
            (estimated)
","
Gross USA: $77,812,000
        "
"
Budget:$100,000,000
            (estimated)
","
Gross USA: $77,233,467
        "
"
Budget:$108,000,000
            (estimated)
","
Gross USA: $10,377,558, 3 March 2017
"
"
Opening Weekend USA: $8,679,028,
19 September 2004, Wide Release
","
Production Co:
 Touchstone Pictures, Dimension Films, The Kennedy/Marshall Company 
See more »
      
"
"
Budget:$26,000,000
            (estimated)
","
Gross USA: $110,230,332, 15 January 2004
"
"
Budget:$11,000,000
            (estimated)
","
Gross USA: $3,074,838, 11 July 2010
"
"
Production Co:
 Lyla Films, MK2 Productions 
See more »
      
","
Runtime:
168 min
"
"
Opening Weekend USA: $6,219,794,
5 September 2004, Wide Release
","
Production Co:
 Cookout Productions, Flavor Unit Entertainment 
See more »
      
"
"
Runtime:
89 min
","
Color:
 Black and White
"
"
Budget:$175,000,000
            (estimated)
","
Gross USA: $152,901,115
        "
"
Budget:$55,000,000
            (estimated)
","
Gross USA: $35,739,802
        "
"
Budget:$55,000,000
            (estimated)
","
Gross USA: $31,051,126
        "
"
Budget:$115,000,000
            (estimated)
","
Gross USA: $93,050,117
        "
"
Budget:$20,000,000
            (estimated)
","
  Show more on
  IMDbPro »
  "
"
  Show more on
  IMDbPro »
  ","
Sound Mix:
Dolby
(as Dolby Stereo)    "
"
Production Co:
 The Rank Organisation, National Film Finance Corporation (NFFC), Enigma Productions 
See more »
      
","
Runtime:
96 min
"
"
Budget:$85,000,000
            (estimated)
","
Gross USA: $64,935,167
        "
"
Budget:$135,000,000
            (estimated)
","
Gross USA: $183,637,894
        "
"
Opening Weekend USA: $21,221,526,
7 February 1999, Wide Release
","
Cumulative Worldwide Gross: $161,626,121
        "
"
Gross USA: $5,669,831
        ","
  Show more on
  IMDbPro »
  "
"
Budget:$71,500,000
            (estimated)
","
Gross USA: $144,156,605
        "
"
Opening Weekend USA: $18,913,411,
22 September 1996, Wide Release
","
Cumulative Worldwide Gross: $181,489,203
        "
"
Budget:$40,000,000
            (estimated)
","
Opening Weekend USA: $10,408,176,
28 August 2011, Wide Release
"
"
Budget:$15,000,000
            (estimated)
","
Gross USA: $20,218,921
        "
"
Budget:$100,000,000
            (estimated)
","
Gross USA: $198,000,317, 10 May 2007
"
"
Opening Weekend USA: $2,815,503,
7 May 1982, Wide Release
","
Production Co:
 Embassy Pictures, Guardian Trust Company, Moviecorp VI 
See more »
      
"
"
Budget:$23,000,000
            (estimated)
","
  Show more on
  IMDbPro »
  "
"
Opening Weekend USA: $35,201,
6 April 2008, Limited Release
","
Production Co:
 GreeneStreet Films, Eclipse Catering 
See more »
      
"
"
  Show more on
  IMDbPro »
  ","
Sound Mix:
Mono
(Western Electric Recording)    "
"
  Show more on
  IMDbPro »
  ","
Sound Mix:
Dolby Digital
| DTS
"
"
Budget:$25,000,000
            (estimated)
","
Gross USA: $36,447,959, 15 August 2014
"
"
Budget:$75,000,000
            (estimated)
","
Gross USA: $117,723,989
        "
"
  Show more on
  IMDbPro »
  ","
Color:
Color
"
"
Budget:$10,000,000
            (estimated)
","
Opening Weekend USA: $1,921,838,
14 May 2006, Wide Release
"
"
Gross USA: $2,200,000, 31 December 1970
","
  Show more on
  IMDbPro »
  "
"
Opening Weekend: $1,289,998
            (United Kingdom),
28 September 2014, Limited Release
","
  Show more on
  IMDbPro »
  "
"
Opening Weekend USA: $13,215,167,
5 October 1997, Wide Release
","
Cumulative Worldwide Gross: $24,500,000, 8 March 1998
"
"
Opening Weekend USA: $11,002,
18 June 2006, Limited Release
","
Production Co:
 Evil Twin Productions, Production/Zone Inc. 
See more »
      
"
"
  Show more on
  IMDbPro »
  ","
Color:
Color
"
"
Budget:$60,000,000
            (estimated)
","
Gross USA: $50,577,412
        "
"
Production Co:
 Warner Bros., Havlin-Robert Shapiro Production 
See more »
      
","
Runtime:
113 min
"
"
Budget:$36,000,000
            (estimated)
","
Gross USA: $30,982,955, 3 February 2017
"
"
Opening Weekend USA: $72,844,
2 November 1997, Limited Release
","
Production Co:
 Allied Filmmakers 
See more »
      
"
"
Production Co:
 Nibariki, Tokuma Shoten, Hakuhodo 
See more »
      
","
Runtime:
117 min
|
95 min
            (1985)
            (edited)
    "
"
Gross USA: $3,410,863, 22 May 2005
","
  Show more on
  IMDbPro »
  "
"
Budget:$110,000,000
            (estimated)
","
Gross USA: $61,284,947, 2 December 2016
"
"
Gross USA: $43,819,547
        ","
Production Co:
 Eon Productions 
See more »
      
"
"
Gross USA: $11,020,375
        ","
  Show more on
  IMDbPro »
  "
"
Opening Weekend USA: $2,875,067,
18 November 2001, Wide Release
","
Production Co:
 Lions Gate Films, Lithium Entertainment Group 
See more »
      
"
"
Budget:$35,000,000
            (estimated)
","
Gross USA: $7,948,159, 21 December 2008
"
"
Production Co:
 Meteor 17, Crew Neck Productions 
See more »
      
","
Runtime:
99 min
"
"
Budget:$130,000,000
            (estimated)
","
Opening Weekend USA: $18,068,372,
10 April 2005, Wide Release
"
"
Budget:$45,000,000
            (estimated)
","
Gross USA: $312,900,000
        "
"
Budget:$60,000,000
            (estimated)
","
Gross USA: $14,567,883, 6 December 1998
"
"
Budget:$65,000,000
            (estimated)
","
Gross USA: $43,818,839, 7 March 2010
"
"
Opening Weekend USA: $52,574,
6 November 2016, Limited Release
","
Production Co:
 Kissaki Films, Stacey Reiss Productions 
See more »
      
"
"
Production Co:
 Reliance Big Pictures, Reliance Entertainment, Studio Green 
See more »
      
","
Sound Mix:
Dolby Digital
"
"
Production Co:
 Real Dakota, Interfest, Star Media 
See more »
      
","
Runtime:
120 min
"
"
Opening Weekend: $226,257
            (Belgium),
16 May 2012, Limited Release
","
Gross USA: $2,061,449, 31 March 2013
"
"
Opening Weekend USA: $6,712,361,
7 November 1999, Wide Release
","
Cumulative Worldwide Gross: $60,289,912, 31 December 2000
"
"
Budget:$7,000
            (estimated)
","
Gross USA: $424,760, 19 December 2004
"
"
Budget:$12,000,000
            (estimated)
","
Gross USA: $91,443,253
        "
"
Budget:FRF 274,620,000
            (estimated)
","
Gross USA: $1,644,060
        "
"
Opening Weekend USA: $63,308,
22 May 2016, Limited Release
","
Production Co:
 Black Bear Pictures, Freedom Media, Hall Monitor 
See more »
      
"
"
Budget:$3,300,000
            (estimated)
","
Gross USA: $25,799,043, 7 June 2015
"
"
Production Co:
 British Screen Productions, Channel Four Films, Portman Productions 
See more »
      
","
Runtime:
108 min
"
"
Opening Weekend USA: $247,760,
10 April 2011, Limited Release
","
Production Co:
 Hari Om Entertainment Company, UTV Motion Pictures 
See more »
      
"
"
Budget:$40,000,000
            (estimated)
","
Gross USA: $59,068,786, 21 April 2002
"
"
Opening Weekend USA: $45,435,
13 September 1985, Limited Release
","
Production Co:
 The Geffen Company, Double Play 
See more »
      
"
"
Gross USA: $17,000,000
        ","
  Show more on
  IMDbPro »
  "
"
Opening Weekend USA: $3,059,638,
25 May 1981, Limited Release
","
Production Co:
 The Ladd Company, Outland Productions 
See more »
      
"
"
Gross USA: $100,494,675
        ","
Production Co:
 Paramount Pictures, Nickelodeon Movies, Klasky-Csupo 
See more »
      
"
"
Gross USA: $5,080,409
        ","
  Show more on
  IMDbPro »
  "
"
Budget:$35,000,000
            (estimated)
","
Opening Weekend USA: $5,914,722,
21 August 2005, Wide Release
"
"
Opening Weekend USA: $46,184,
27 March 2016, Limited Release
","
Cumulative Worldwide Gross: $2,003,337, 1 December 2016
"
"
Budget:$100,000,000
            (estimated)
","
Gross USA: $57,366,262, 6 April 2007
"
"
Budget:€59,660,000
            (estimated)
","
Opening Weekend USA: $6,144,160,
27 June 2004, Wide Release
"
"
Gross USA: $2,502,551
        ","
  Show more on
  IMDbPro »
  "
"
Gross USA: $12,816,367
        ","
Production Co:
 Universal Pictures, Focus Features, Working Title Films 
See more »
      
"
"
Opening Weekend USA: $13,584,625,
26 December 1999, Wide Release
","
Cumulative Worldwide Gross: $100,230,832
        "
"
Opening Weekend: £6,440,093
            (United Kingdom),
1 April 2007, Limited Release
","
Gross USA: $33,302,167
        "
"
Opening Weekend USA: $7,351,
1 August 2010, Limited Release
","
Production Co:
 Maya Entertainment, Take Fountain Productions, Besito Films 
See more »
      
"
"
Opening Weekend USA: $118,162,
6 December 1991, Limited Release
","
Production Co:
 The Saul Zaentz Company 
See more »
      
"
"
Budget:$20,000,000
            (estimated)
","
Production Co:
 Grindstone Entertainment Group, Cheetah Vision, Action Jackson Films 
See more »
      
"
"
Opening Weekend USA: $42,220,847,
13 April 2003, Wide Release
","
Cumulative Worldwide Gross: $195,745,823
        "
"
  Show more on
  IMDbPro »
  ","
Color:
Color
"
"
Runtime:
140 min
","
Aspect Ratio: 2.35 : 1
    "
"
Gross USA: $129,547, 26 October 2017
","
  Show more on
  IMDbPro »
  "
"
Budget:$60,000,000
            (estimated)
","
Gross USA: $60,592,389, 31 December 1997
"
"
Opening Weekend USA: $11,765,654,
21 June 1981
","
Production Co:
 Golden Harvest Company, Eurasia Investments 
See more »
      
"
"
Opening Weekend USA: $115,004,
22 March 2009, Limited Release
","
Production Co:
 Bristol Bay Productions, Playtone, Great Buck Productions 
See more »
      
"
"
Opening Weekend USA: $10,030,463,
7 July 2013, Wide Release
","
Cumulative Worldwide Gross: $32,318,051
        "
"
Budget:$5,000,000
            (estimated)
","
Production Co:
 Allied Vision, Pheasantry Films, The Picture Property Company 
See more »
      
"
"
Opening Weekend USA: $10,976,661,
27 September 1992
","
Production Co:
 Morgan Creek Entertainment 
See more »
      
"
"
Gross USA: $7,881,335
        ","
  Show more on
  IMDbPro »
  "
"
Budget:$30,000,000
            (estimated)
","
Gross USA: $43,894,863, 30 October 2005
"
"
  Show more on
  IMDbPro »
  ","
Sound Mix:
Dolby Digital
"
"
Gross USA: $10,078, 17 January 2015
","
  Show more on
  IMDbPro »
  "
"
Opening Weekend USA: $1,095,
17 February 2013, Limited Release
","
Production Co:
 Motion Picture Corporation of America (MPCA), Anchor Bay Films, Caliber Media Company 
See more »
      
"
"
Gross USA: $8,143,225
        ","
  Show more on
  IMDbPro »
  "
"
Opening Weekend USA: $15,818,645,
19 October 1997, Wide Release
","
Cumulative Worldwide Gross: $125,586,134
        "
"
Gross USA: $14,110,600
        ","
  Show more on
  IMDbPro »
  "
"
Opening Weekend USA: $2,730,440,
5 October 1997, Wide Release
","
Production Co:
 Phoenix Pictures, Illusion Entertainment Group, Clyde Is Hungry Films 
See more »
      
"
"
Budget:$10,000,000
            (estimated)
","
Gross USA: $40,485,039
        "
"
Gross USA: $4,104,962
        ","
  Show more on
  IMDbPro »
  "
"
Budget:$18,500,000
            (estimated)
","
Gross USA: $85,160,248
        "
"
Opening Weekend USA: $20,854,735,
27 July 2003, Wide Release
","
Cumulative Worldwide Gross: $148,336,445
        "
"
Budget:$28,000,000
            (estimated)
","
Gross USA: $71,349,120
        "
"
Opening Weekend: €100,022
            (Netherlands),
17 December 2006, Limited Release
","
  Show more on
  IMDbPro »
  "
"
Opening Weekend USA: $17,435,092,
20 May 2012, Wide Release
","
Cumulative Worldwide Gross: $179,379,533
        "
"
Opening Weekend USA: $22,332,053,
20 June 1999, Wide Release
","
Cumulative Worldwide Gross: $149,705,852
        "
"
Opening Weekend: $2,194,799
            (Japan),
14 September 2008, Limited Release
","
Gross USA: $1,542,989, 20 June 2010
"
"
Production Co:
 Racing Pictures 
See more »
      
","
Runtime:
90 min
|
87 min
            (R-rated)
          |
87 min
            (cut)
    "
"
Budget:$1,500,000
            (estimated)
","
Gross USA: $4,599,680, 14 December 2003
"
"
  Show more on
  IMDbPro »
  ","
Sound Mix:
Dolby Digital
"
"
Opening Weekend: €1,048,445
            (Spain),
15 May 2011, Limited Release
","
Gross USA: $56,816,662
        "
"
Opening Weekend USA: $12,700,000,
26 May 1986
","
Production Co:
 Freddie Fields Productions, Metro-Goldwyn-Mayer (MGM) 
See more »
      
"
"
Budget:$2,900,000
            (estimated)
","
Gross USA: $228,477, 25 October 2009
"
"
Budget:$26,000,000
            (estimated)
","
Gross USA: $16,008,272, 24 July 2012
"
"
Gross USA: $77,588, 26 April 2009
","
  Show more on
  IMDbPro »
  "
"
  Show more on
  IMDbPro »
  ","
Sound Mix:
Dolby Digital
"
"
Budget:$6,000,000
            (estimated)
","
Gross USA: $13,235,267, 14 October 2007
"
"
Opening Weekend: $742,705
            (Spain),
3 July 2009, Limited Release
","
  Show more on
  IMDbPro »
  "
"
Budget:AUD 810,000
            (estimated)
","
  Show more on
  IMDbPro »
  "
"
Budget:$40,000,000
            (estimated)
","
Gross USA: $53,089,891, 8 February 2007
"
"
Budget:$10,000,000
            (estimated)
","
Gross USA: $3,369,431, 15 May 2016
"
"
Budget:$13,000,000
            (estimated)
","
Gross USA: $57,938,693
        "
"
Opening Weekend USA: $45,888,
3 November 2002, Limited Release
","
Production Co:
 StudioCanal, Manifest Film Company, Palomar Pictures (II) 
See more »
      
"
